"tair_locus" "tair_symbol" "transcript_ID" "chromosome_name" "start_position" "end_position" "strand" "transcript_start" "transcript_end" "regionString" "transcript_length"
"AT4G30080" "ARF16" "AT4G30080.1" 4 14703065 14706354 -1 14703369 14705564 "4:14703369-14705564" 2195
"AT5G20730" "NPH4" "AT5G20730.3" 5 7016445 7022179 -1 7016704 7021504 "5:7016704-7021504" 4800
"AT5G20730" "NPH4" "AT5G20730.2" 5 7016445 7022179 -1 7016704 7021504 "5:7016704-7021504" 4800
"AT5G20730" "NPH4" "AT5G20730.1" 5 7016445 7022179 -1 7016704 7021504 "5:7016704-7021504" 4800
"AT5G37020" "ARF8" "AT5G37020.2" 5 14629453 14634454 1 14630151 14633916 "5:14630151-14633916" 3765
"AT5G37020" "ARF8" "AT5G37020.1" 5 14629453 14634454 1 14630151 14634106 "5:14630151-14634106" 3955
"AT5G37020" "ARF8" "AT5G37020.3" 5 14629453 14634454 1 14630715 14634106 "5:14630715-14634106" 3391
"AT5G60450" "ARF4" "AT5G60450.2" 5 24308255 24312784 -1 24308558 24312187 "5:24308558-24312187" 3629
"AT5G60450" "ARF4" "AT5G60450.1" 5 24308255 24312784 -1 24308558 24312187 "5:24308558-24312187" 3629
"AT5G62000" "ARF2" "AT5G62000.2" 5 24910191 24915395 1 24910859 24914680 "5:24910859-24914680" 3821
"AT5G62000" "ARF2" "AT5G62000.1" 5 24910191 24915395 1 24910859 24914680 "5:24910859-24914680" 3821
"AT5G62000" "ARF2" "AT5G62000.3" 5 24910191 24915395 1 24910859 24914680 "5:24910859-24914680" 3821
"AT5G62000" "ARF2" "AT5G62000.5" 5 24910191 24915395 1 24910859 24914680 "5:24910859-24914680" 3821
"AT5G62000" "ARF2" "AT5G62000.4" 5 24910191 24915395 1 24910859 24914873 "5:24910859-24914873" 4014
"AT1G04100" "IAA10" "AT1G04100.1" 1 1059470 1061209 1 1059809 1061026 "1:1059809-1061026" 1217
"AT1G04240" "SHY2" "AT1G04240.1" 1 1128149 1129689 -1 1128564 1129319 "1:1128564-1129319" 755
"AT1G04240" "SHY2" "AT1G04240.2" 1 1128149 1129689 -1 1128564 1129619 "1:1128564-1129619" 1055
"AT1G04250" "AXR3" "AT1G04250.1" 1 1136078 1138663 1 1136382 1138340 "1:1136382-1138340" 1958
"AT1G04550" "IAA12" "AT1G04550.1" 1 1240294 1242157 1 1240582 1241375 "1:1240582-1241375" 793
"AT1G04550" "IAA12" "AT1G04550.2" 1 1240294 1242157 1 1240582 1241810 "1:1240582-1241810" 1228
"AT1G15050" "IAA34" "AT1G15050.2" 1 5181991 5183413 -1 5182256 5182998 "1:5182256-5182998" 742
"AT1G15050" "IAA34" "AT1G15050.1" 1 5181991 5183413 -1 5182256 5183243 "1:5182256-5183243" 987
"AT1G15580" "IAA5" "AT1G15580.1" 1 5365512 5366497 -1 5365764 5366460 "1:5365764-5366460" 696
"AT1G51950" "IAA18" "AT1G51950.1" 1 19305081 19307518 1 19305670 19307130 "1:19305670-19307130" 1460
"AT1G52830" "IAA6" "AT1G52830.1" 1 19672476 19673652 -1 19672670 19673559 "1:19672670-19673559" 889
"AT1G80390" "IAA15" "AT1G80390.1" 1 30221629 30222769 -1 30222221 30222702 "1:30222221-30222702" 481
"AT2G01200" "IAA32" "AT2G01200.1" 2 117969 120095 1 118385 119219 "2:118385-119219" 834
"AT2G01200" "IAA32" "AT2G01200.2" 2 117969 120095 1 118385 119219 "2:118385-119219" 834
"AT2G22670" "IAA8" "AT2G22670.4" 2 9636346 9638761 1 9636877 9638459 "2:9636877-9638459" 1582
"AT2G22670" "IAA8" "AT2G22670.1" 2 9636346 9638761 1 9637136 9638459 "2:9637136-9638459" 1323
"AT2G22670" "IAA8" "AT2G22670.2" 2 9636346 9638761 1 9637136 9638459 "2:9637136-9638459" 1323
"AT2G22670" "IAA8" "AT2G22670.5" 2 9636346 9638761 1 9637136 9638459 "2:9637136-9638459" 1323
"AT2G22670" "IAA8" "AT2G22670.3" 2 9636346 9638761 1 9637136 9638459 "2:9637136-9638459" 1323
"AT2G33310" "IAA13" "AT2G33310.3" 2 14113025 14116089 -1 14114569 14115757 "2:14114569-14115757" 1188
"AT2G33310" "IAA13" "AT2G33310.1" 2 14113025 14116089 -1 14114569 14115757 "2:14114569-14115757" 1188
"AT2G33310" "IAA13" "AT2G33310.2" 2 14113025 14116089 -1 14114569 14115757 "2:14114569-14115757" 1188
"AT2G46990" "IAA20" "AT2G46990.2" 2 19307714 19309071 1 19307861 19308704 "2:19307861-19308704" 843
"AT2G46990" "IAA20" "AT2G46990.1" 2 19307714 19309071 1 19307861 19308869 "2:19307861-19308869" 1008
"AT3G04730" "IAA16" "AT3G04730.1" 3 1288155 1290891 -1 1288993 1290415 "3:1288993-1290415" 1422
"AT3G15540" "IAA19" "AT3G15540.1" 3 5264001 5265695 1 5264100 5265378 "3:5264100-5265378" 1278
"AT3G16500" "PAP1" "AT3G16500.1" 3 5612203 5614803 -1 5612801 5614208 "3:5612801-5614208" 1407
"AT3G16500" "PAP1" "AT3G16500.2" 3 5612203 5614803 -1 5612886 5614208 "3:5612886-5614208" 1322
"AT3G17600" "IAA31" "AT3G17600.1" 3 6019973 6021147 -1 6020281 6021040 "3:6020281-6021040" 759
"AT3G23030" "IAA2" "AT3G23030.1" 3 8180646 8182095 -1 8181069 8181685 "3:8181069-8181685" 616
"AT3G23030" "IAA2" "AT3G23030.2" 3 8180646 8182095 -1 8181069 8181946 "3:8181069-8181946" 877
"AT3G23050" "IAA7" "AT3G23050.3" 3 8194606 8197161 1 8194768 8195828 "3:8194768-8195828" 1060
"AT3G23050" "IAA7" "AT3G23050.2" 3 8194606 8197161 1 8194768 8196214 "3:8194768-8196214" 1446
"AT3G23050" "IAA7" "AT3G23050.1" 3 8194606 8197161 1 8194768 8196716 "3:8194768-8196716" 1948
"AT3G62100" "IAA30" "AT3G62100.2" 3 22995686 22996809 1 22995835 22996432 "3:22995835-22996432" 597
"AT3G62100" "IAA30" "AT3G62100.1" 3 22995686 22996809 1 22995835 22996593 "3:22995835-22996593" 758
"AT4G14550" "IAA14" "AT4G14550.1" 4 8347822 8350263 -1 8348521 8349923 "4:8348521-8349923" 1402
"AT4G14550" "IAA14" "AT4G14550.2" 4 8347822 8350263 -1 8348579 8349923 "4:8348579-8349923" 1344
"AT4G14550" "IAA14" "AT4G14550.3" 4 8347822 8350263 -1 8349005 8349923 "4:8349005-8349923" 918
"AT4G14550" "IAA14" "AT4G14550.4" 4 8347822 8350263 -1 8349181 8349923 "4:8349181-8349923" 742
"AT4G14560" "IAA1" "AT4G14560.1" 4 8360996 8362033 1 8361182 8361780 "4:8361182-8361780" 598
"AT4G28640" "IAA11" "AT4G28640.3" 4 14142063 14143969 1 14142288 14143677 "4:14142288-14143677" 1389
"AT4G28640" "IAA11" "AT4G28640.1" 4 14142063 14143969 1 14142288 14143755 "4:14142288-14143755" 1467
"AT4G28640" "IAA11" "AT4G28640.2" 4 14142063 14143969 1 14142288 14143928 "4:14142288-14143928" 1640
"AT4G29080" "PAP2" "AT4G29080.1" 4 14323296 14325361 -1 14323665 14325213 "4:14323665-14325213" 1548
"AT4G32280" "IAA29" "AT4G32280.3" 4 15583332 15584903 1 15583479 15584262 "4:15583479-15584262" 783
"AT4G32280" "IAA29" "AT4G32280.1" 4 15583332 15584903 1 15583479 15584628 "4:15583479-15584628" 1149
"AT4G32280" "IAA29" "AT4G32280.2" 4 15583332 15584903 1 15583479 15584628 "4:15583479-15584628" 1149
"AT5G25890" "IAA28" "AT5G25890.1" 5 9033204 9035140 1 9033480 9034554 "5:9033480-9034554" 1074
"AT5G43700" "ATAUX2-11" "AT5G43700.1" 5 17550179 17551715 1 17550465 17551206 "5:17550465-17551206" 741
"AT5G57420" "IAA33" "AT5G57420.1" 5 23269914 23271092 1 23270024 23270959 "5:23270024-23270959" 935
"AT5G65670" "IAA9" "AT5G65670.1" 5 26253408 26256544 1 26254463 26256134 "5:26254463-26256134" 1671
"AT5G65670" "IAA9" "AT5G65670.2" 5 26253408 26256544 1 26254463 26256134 "5:26254463-26256134" 1671
"AT1G15750" "TPL" "AT1G15750.3" 1 5414817 5421033 -1 5415086 5420359 "1:5415086-5420359" 5273
"AT1G15750" "TPL" "AT1G15750.1" 1 5414817 5421033 -1 5415086 5420359 "1:5415086-5420359" 5273
"AT1G15750" "TPL" "AT1G15750.4" 1 5414817 5421033 -1 5415086 5420359 "1:5415086-5420359" 5273
"AT1G15750" "TPL" "AT1G15750.2" 1 5414817 5421033 -1 5415086 5420359 "1:5415086-5420359" 5273
"AT1G80490" "TPR1" "AT1G80490.2" 1 30260818 30267125 -1 30261094 30266446 "1:30261094-30266446" 5352
"AT1G80490" "TPR1" "AT1G80490.1" 1 30260818 30267125 -1 30261094 30266446 "1:30261094-30266446" 5352
"AT1G80490" "TPR1" "AT1G80490.3" 1 30260818 30267125 -1 30261094 30266446 "1:30261094-30266446" 5352
"AT3G15880" "WSIP2" "AT3G15880.2" 3 5364081 5372293 -1 5364454 5371869 "3:5364454-5371869" 7415
"AT3G15880" "WSIP2" "AT3G15880.1" 3 5364081 5372293 -1 5364792 5371869 "3:5364792-5371869" 7077
"AT3G15880" "WSIP2" "AT3G15880.3" 3 5364081 5372293 -1 5364792 5371869 "3:5364792-5371869" 7077
"AT3G15880" "WSIP2" "AT3G15880.4" 3 5364081 5372293 -1 5364792 5371869 "3:5364792-5371869" 7077
"AT3G16830" "TPR2" "AT3G16830.1" 3 5731519 5737854 1 5731709 5737531 "3:5731709-5737531" 5822
"AT5G27030" "TPR3" "AT5G27030.1" 5 9508718 9515565 -1 9508913 9515263 "5:9508913-9515263" 6350
"AT5G27030" "TPR3" "AT5G27030.2" 5 9508718 9515565 -1 9508913 9515263 "5:9508913-9515263" 6350
"AT1G73590" "PIN1" "AT1G73590.1" 1 27659673 27663253 1 27659772 27662876 "1:27659772-27662876" 3104
"AT2G47750" "GH3.9" "AT2G47750.1" 2 19560127 19563960 -1 19560307 19562974 "2:19560307-19562974" 2667
"AT4G27260" "WES1" "AT4G27260.1" 4 13653579 13656285 1 13653704 13655892 "4:13653704-13655892" 2188
"AT5G54510" "DFL1" "AT5G54510.1" 5 22130964 22133688 -1 22131321 22133564 "5:22131321-22133564" 2243
