"tair_locus" "tair_symbol" "transcript_ID" "chromosome_name" "start_position" "end_position" "transcript_start" "transcript_end" "regionString" "transcript_length"
"AT2G33310" "IAA13" "AT2G33310.1" 2 14113025 14116089 14114207 14116089 "2:14114207-14116089" 1882
"AT2G46990" "IAA20" "AT2G46990.2" 2 19307714 19309071 19307714 19309071 "2:19307714-19309071" 1357
"AT2G46990" "IAA20" "AT2G46990.1" 2 19307714 19309071 19307714 19309071 "2:19307714-19309071" 1357
"AT3G04730" "IAA16" "AT3G04730.1" 3 1288155 1290891 1288155 1290891 "3:1288155-1290891" 2736
"AT3G15540" "IAA19" "AT3G15540.1" 3 5264001 5265695 5264001 5265695 "3:5264001-5265695" 1694
"AT3G16500" "PAP1" "AT3G16500.1" 3 5612203 5614803 5612203 5614803 "3:5612203-5614803" 2600
"AT3G16500" "PAP1" "AT3G16500.2" 3 5612203 5614803 5612836 5614513 "3:5612836-5614513" 1677
"AT3G17600" "IAA31" "AT3G17600.1" 3 6019973 6021147 6019973 6021147 "3:6019973-6021147" 1174
"AT3G23030" "IAA2" "AT3G23030.1" 3 8180646 8182095 8180702 8181853 "3:8180702-8181853" 1151
"AT3G23030" "IAA2" "AT3G23030.2" 3 8180646 8182095 8180646 8182095 "3:8180646-8182095" 1449
"AT3G23050" "IAA7" "AT3G23050.3" 3 8194606 8197161 8194659 8197161 "3:8194659-8197161" 2502
"AT3G23050" "IAA7" "AT3G23050.1" 3 8194606 8197161 8194606 8197155 "3:8194606-8197155" 2549
"AT3G23050" "IAA7" "AT3G23050.2" 3 8194606 8197161 8194711 8196545 "3:8194711-8196545" 1834
"AT3G62100" "IAA30" "AT3G62100.2" 3 22995686 22996809 22995777 22996802 "3:22995777-22996802" 1025
"AT3G62100" "IAA30" "AT3G62100.1" 3 22995686 22996809 22995686 22996809 "3:22995686-22996809" 1123
"AT4G14550" "IAA14" "AT4G14550.2" 4 8347822 8350263 8348579 8350263 "4:8348579-8350263" 1684
"AT4G14550" "IAA14" "AT4G14550.1" 4 8347822 8350263 8347822 8350263 "4:8347822-8350263" 2441
"AT4G14550" "IAA14" "AT4G14550.3" 4 8347822 8350263 8349005 8350263 "4:8349005-8350263" 1258
"AT4G14550" "IAA14" "AT4G14550.4" 4 8347822 8350263 8349181 8350030 "4:8349181-8350030" 849
"AT4G14560" "IAA1" "AT4G14560.1" 4 8360996 8362033 8360996 8362033 "4:8360996-8362033" 1037
"AT4G28640" "IAA11" "AT4G28640.2" 4 14142063 14143969 14142135 14143969 "4:14142135-14143969" 1834
"AT4G28640" "IAA11" "AT4G28640.1" 4 14142063 14143969 14142135 14143969 "4:14142135-14143969" 1834
"AT4G28640" "IAA11" "AT4G28640.3" 4 14142063 14143969 14142063 14143968 "4:14142063-14143968" 1905
"AT4G29080" "PAP2" "AT4G29080.1" 4 14323296 14325361 14323296 14325361 "4:14323296-14325361" 2065
"AT4G32280" "IAA29" "AT4G32280.3" 4 15583332 15584903 15583363 15584903 "4:15583363-15584903" 1540
"AT4G32280" "IAA29" "AT4G32280.1" 4 15583332 15584903 15583332 15584898 "4:15583332-15584898" 1566
"AT4G32280" "IAA29" "AT4G32280.2" 4 15583332 15584903 15583332 15584898 "4:15583332-15584898" 1566
"AT5G25890" "IAA28" "AT5G25890.1" 5 9033204 9035140 9033204 9035140 "5:9033204-9035140" 1936
"AT5G43700" "ATAUX2-11" "AT5G43700.1" 5 17550179 17551715 17550179 17551715 "5:17550179-17551715" 1536
"AT5G57420" "IAA33" "AT5G57420.1" 5 23269914 23271092 23269914 23271092 "5:23269914-23271092" 1178
"AT5G65670" "IAA9" "AT5G65670.1" 5 26253408 26256544 26253408 26256544 "5:26253408-26256544" 3136
"AT5G65670" "IAA9" "AT5G65670.2" 5 26253408 26256544 26253947 26256381 "5:26253947-26256381" 2434
"AT1G73590" "PIN1" "AT1G73590.1" 1 27659673 27663253 27659673 27663253 "1:27659673-27663253" 3580
"AT2G47750" "GH3.9" "AT2G47750.1" 2 19560127 19563960 19560127 19563960 "2:19560127-19563960" 3833
"AT4G27260" "GH3.5" "AT4G27260.1" 4 13653579 13656285 13653579 13656285 "4:13653579-13656285" 2706
"AT5G54510" "GH3.6" "AT5G54510.1" 5 22130964 22133688 22130964 22133688 "5:22130964-22133688" 2724
