"tair_locus" "tair_symbol" "transcript_ID" "chromosome_name" "start_position" "end_position" "strand" "transcript_start" "transcript_end" "regionString" "transcript_length"
"100" "AT2G28350" "ARF10" "AT2G28350.1" "2" 12114331 12116848 1 12114331 12116848 "2:12114331-12116848" -2517
"101" "AT2G46530" "ARF11" "AT2G46530.1" "2" 19104665 19108331 1 19104665 19108331 "2:19104665-19108331" -3666
"102" "AT2G46530" "ARF11" "AT2G46530.2" "2" 19104683 19108331 1 19104683 19108331 "2:19104683-19108331" -3648
"103" "AT2G46530" "ARF11" "AT2G46530.3" "2" 19105112 19108331 1 19105112 19108331 "2:19105112-19108331" -3219
"104" "AT1G34310" "ARF12" "AT1G34310.1" "1" 12508548 12511520 -1 12508548 12511520 "1:12508548-12511520" -2972
"105" "AT1G34170" "ARF13" "AT1G34170.1" "1" 12443547 12446764 -1 12443547 12446764 "1:12443547-12446764" -3217
"106" "AT1G34170" "ARF13" "AT1G34170.2" "1" 12443547 12446764 -1 12443547 12446764 "1:12443547-12446764" -3217
"107" "AT1G34170" "ARF13" "AT1G34170.3" "1" 12443578 12446764 -1 12443578 12446764 "1:12443578-12446764" -3186
"108" "AT1G35540" "ARF14" "AT1G35540.1" "1" 13108634 13111700 1 13108634 13111700 "1:13108634-13111700" -3066
"109" "AT1G35520" "ARF15" "AT1G35520.1" "1" 13082819 13085830 -1 13082819 13085830 "1:13082819-13085830" -3011
"110" "AT4G30080" "ARF16" "AT4G30080.1" "4" 14703201 14706336 -1 14703201 14706336 "4:14703201-14706336" -3135
"111" "AT1G77850" "ARF17" "AT1G77850.1" "1" 29272313 29275419 1 29272313 29275419 "1:29272313-29275419" -3106
"112" "AT3G61830" "ARF18" "AT3G61830.1" "3" 22887889 22891435 1 22887889 22891435 "3:22887889-22891435" -3546
"113" "AT1G19220" "ARF19" "AT1G19220.1" "1" 6628068 6633087 -1 6628068 6633087 "1:6628068-6633087" -5019
"114" "AT1G35240" "ARF20" "AT1G35240.1" "1" 12927457 12930523 -1 12927457 12930523 "1:12927457-12930523" -3066
"115" "AT1G34410" "ARF21" "AT1G34410.1" "1" 12577722 12580824 1 12577722 12580824 "1:12577722-12580824" -3102
"116" "AT1G34390" "ARF22" "AT1G34390.1" "1" 12556005 12559082 1 12556005 12559082 "1:12556005-12559082" -3077
"117" "AT1G43950" "ARF23" "AT1G43950.1" "1" 16672582 16673952 -1 16672582 16673952 "1:16672582-16673952" -1370
